,HP,PIP,ATK,DEF,INTL,SPD,CRIT,HIT,CRD,RANGE,Name,EquipmentIndex,WeaponIndex,ArmorIndex,Owned,Level,Value,SkillsIndex,Skillsn,ID,EmitterIndex,Pure,StatusEffect
0,0,0,0,0,0,1,0,0,0,0,Crest of the horse,2,0,0,0,1,5,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,Crest of the wolf,2,0,0,0,1,10,0,0,1,0,0,0
2,1,0,0,1,0,0,0,0,0,0,Crest of the turtle,2,0,0,0,2,15,0,0,2,0,0,4
3,0,0,0,0,0,0,1,1,0,0,Crest of the eagle,2,0,0,0,2,20,0,0,3,0,0,2
4,2,0,0,0,0,0,0,0,0,0,Crest of the bear,2,0,0,0,2,25,0,0,4,0,0,5
5,0,0,0,0,2,0,0,0,0,0,Crest of the owl,2,0,0,0,2,30,0,0,5,0,0,3
6,0,0,0,0,2,1,0,0,0,0,Crest of the fox,2,0,0,0,3,35,0,0,6,0,0,2
7,0,0,0,0,1,1,0,0,0,1,Crest of the serpant,2,0,0,0,3,40,0,0,7,0,0,3
8,2,0,2,0,0,0,0,0,0,0,Crest of the lion,2,0,0,0,4,45,0,0,8,0,0,1
9,0,0,1,0,0,0,3,0,0,0,Crest of the crow,2,0,0,0,4,45,0,0,9,0,0,2
10,0,0,2,0,0,2,0,0,0,0,Crest of the tiger,2,0,0,0,4,45,0,0,10,0,0,6
11,0,0,1,3,0,0,0,0,0,0,Crest of the crocodile,2,0,0,0,4,45,0,0,11,0,0,4
12,0,1,0,0,4,0,0,0,0,0,Crest of the fairy,2,0,0,0,5,45,0,0,12,0,0,2
13,2,0,0,2,0,0,0,0,0,1,Crest of the forest,2,0,0,0,5,45,0,0,13,0,0,3
14,0,2,2,0,2,0,0,0,0,0,Crest of the sea,2,0,0,0,6,45,0,0,14,0,0,5
