,ID,Dialogue,ActivityIndex,BranchOrCentral,PositiveOrNegative,UnitCost,MoneyCostPercentage,StartingDialogue,EndDialogue,TimeCost,RewardMoneyPercent,RewardIndex
0,0,This is the start of the dialogue,1,0,0,0,12,1,0,1,0,0
1,1,"Well, you succeded. I guess",1,1,1,0,12,0,0,1,0,0
2,2,Well that's a fail there,1,1,0,0,12,0,0,1,0,0
3,3,"I'm sure if you were to talk to the guy over there, things could go your way.",1,0,1,0,12,0,0,1,0,0
4,4,I'm not sure you should do this... it might end poorly,1,0,0,0,12,0,0,1,0,0
5,5,Go away buddy. Can't you see I'm busy?,1,1,0,0,12,0,1,1,0,0
6,6,It's Russian Roulette Time!!!! Fancy you're luck?,2,1,0,1,10,1,0,1,25,0
7,7,WOW! By the skin of the teeth the contestant made it!,2,1,1,1,10,0,0,1,25,0
8,8,OUCH! That's gotta hurt!,2,1,0,1,10,0,0,1,25,0
9,9,"Roulett's over, go home",2,0,0,1,10,0,1,1,25,0
10,10,Hey. I work with the local newstation and I might be able to run an ad for your team there,3,1,0,0,15,1,0,1,0,3
11,11,Ran a few ads for ya. Hope it helps out,3,1,1,0,15,0,0,1,0,3
12,12,"Well, got caught. Sorry kid",3,1,0,0,15,0,0,1,0,3
13,13,The networks are run terribly around here. There's a guy around here willing to run some ads. Give em a shot,3,0,1,0,15,0,0,1,0,3
14,14,The networks are investigating for corruption right now. There's a guy willing to run some ads. Now's not the best time,3,0,0,0,15,0,0,1,0,3
15,15,Look I've done all I can just leave me alone,3,1,0,0,15,0,1,1,0,3
