,HP,PIP,ATK,DEF,INTL,SPD,CRIT,HIT,CRD,RANGE,Name,EquipmentIndex,WeaponIndex,ArmorIndex,Owned,Level,Value,SkillsIndex,Skillsn,ID,EmitterIndex,Pure
0,0,0,0,1,0,0,0,0,0,0,Plain shirt,1,0,1,0,1,100,0,1,24,0,0
1,0,0,1,1,0,0,0,0,0,0,Tank top,1,0,1,0,1,175,0,1,25,0,0
2,0,0,0,2,0,0,0,0,1,0,Biker jacket,1,0,1,0,2,260,0,2,26,0,0
3,0,0,1,2,0,0,0,0,2,0,Studded vest,1,0,1,0,3,350,0,2,27,0,0
4,1,0,2,2,1,1,0,0,2,0,Wudang robe,1,0,1,0,4,420,1,2,28,0,0
5,0,1,1,3,0,2,0,0,3,0,Super suit,1,0,1,0,6,500,1,3,29,0,0
6,0,0,0,1,0,0,0,0,0,0,Quilted jacket,1,0,2,0,1,100,0,1,30,0,0
7,0,0,0,1,0,1,0,0,0,0,Leather armor,1,0,2,0,1,175,0,1,31,0,0
8,0,0,0,3,0,-1,0,0,1,0,Chain mail,1,0,2,0,2,260,0,2,32,0,0
9,2,0,1,4,0,-2,0,0,2,0,Reinforced mail,1,0,2,0,3,350,0,2,33,0,0
10,4,0,0,6,0,-3,0,0,2,0,Plate armor,1,0,2,0,4,420,0,3,34,0,1
11,1,2,0,3,3,0,0,0,3,1,Royal armor,1,0,2,0,6,500,1,3,35,0,0
12,0,0,0,0,1,0,0,0,0,0,Apprentice robe,1,0,3,0,1,100,0,1,36,0,0
13,0,0,0,1,1,0,0,0,0,0,Mage robe,1,0,3,0,1,175,0,1,37,0,0
14,0,1,0,1,2,-1,0,0,1,1,Enchanted robe,1,0,3,0,2,260,0,2,38,0,0
15,0,1,0,1,3,0,0,2,2,1,High mage robe,1,0,3,0,3,350,0,2,39,0,0
16,0,1,0,2,4,1,0,1,2,0,Enchanting moon robe,1,0,3,0,4,420,1,3,40,0,0
17,0,2,0,-2,8,0,2,0,3,1,Fiery sun robe,1,0,3,0,6,500,1,3,41,0,0
18,0,0,0,0,0,0,0,1,0,0,Light leather jacket,1,0,4,0,1,100,0,1,42,0,0
19,0,0,0,0,0,1,0,1,0,0,Feather armor,1,0,4,0,1,175,0,1,43,0,0
20,0,0,0,1,0,1,0,2,1,1,Archer armor,1,0,4,0,2,260,1,2,44,0,0
21,0,0,1,1,0,1,1,2,2,2,Eagle armor,1,0,4,0,3,350,0,2,45,0,0
22,0,0,2,0,2,2,1,1,2,0,Nightshade robe,1,0,4,0,4,420,0,3,46,0,0
23,0,0,1,1,1,-1,3,2,3,3,Robe of stillness,1,0,4,0,6,500,1,3,47,0,0
