,HP,PIP,ATK,DEF,INTL,SPD,CRIT,HIT,CRD,RANGE,Name,EquipmentIndex,WeaponIndex,ArmorIndex,Owned,Level,Value,SkillsIndex,Skillsn,ID,EmitterIndex,Pure
0,0,0,0,1,0,0,0,0,0,0,Plain shirt,1,0,1,0,1,100,0,1,0,0,0
1,0,0,1,1,0,0,0,0,0,0,Tank top,1,0,1,0,1,175,0,1,1,0,0
2,0,0,0,2,0,0,0,0,1,0,Biker jacket,1,0,1,0,2,260,0,2,2,0,0
3,0,0,1,2,0,0,0,0,2,0,Studded vest,1,0,1,0,3,350,0,2,3,0,0
4,1,0,2,2,1,1,0,0,2,0,Wudang robe,1,0,1,0,4,420,1,2,4,0,0
5,0,1,1,3,0,2,0,0,3,0,Super suit,1,0,1,0,6,500,1,3,5,0,0
6,0,0,0,1,0,0,0,0,0,0,Quilted jacket,1,0,2,0,1,100,0,1,6,0,0
7,0,0,0,1,0,1,0,0,0,0,Leather armor,1,0,2,0,1,175,0,1,7,0,0
8,0,0,0,3,0,-1,0,0,1,0,Chain mail,1,0,2,0,2,260,0,2,8,0,0
9,2,0,1,4,0,-2,0,0,2,0,Reinforced mail,1,0,2,0,3,350,0,2,9,0,0
10,4,0,0,6,0,-3,0,0,2,0,Plate armor,1,0,2,0,4,420,0,3,10,0,1
11,1,2,0,3,3,0,0,0,3,1,Royal armor,1,0,2,0,6,500,1,3,11,0,0
12,0,0,0,0,1,0,0,0,0,0,Apprentice robe,1,0,3,0,1,100,0,1,12,0,0
13,0,0,0,1,1,0,0,0,0,0,Mage robe,1,0,3,0,1,175,0,1,13,0,0
14,0,1,0,1,2,-1,0,0,1,1,Enchanted robe,1,0,3,0,2,260,0,2,14,0,0
15,0,1,0,1,3,0,0,2,2,1,High mage robe,1,0,3,0,3,350,0,2,15,0,0
16,0,1,0,2,4,1,0,1,2,0,Enchanting moon robe,1,0,3,0,4,420,1,3,16,0,0
17,0,2,0,-2,8,0,2,0,3,1,Fiery sun robe,1,0,3,0,6,500,1,3,17,0,0
18,0,0,0,0,0,0,0,1,0,0,Light leather jacket,1,0,4,0,1,100,0,1,18,0,0
19,0,0,0,0,0,1,0,1,0,0,Feather armor,1,0,4,0,1,175,0,1,19,0,0
20,0,0,0,1,0,1,0,2,1,1,Archer armor,1,0,4,0,2,260,1,2,20,0,0
21,0,0,1,1,0,1,1,2,2,2,Eagle armor,1,0,4,0,3,350,0,2,21,0,0
22,0,0,2,0,2,2,1,1,2,0,Nightshade robe,1,0,4,0,4,420,0,3,22,0,0
23,0,0,1,1,1,-1,3,2,3,3,Robe of stillness,1,0,4,0,6,500,1,3,23,0,0
