,name,description,weaponIndex,value,pip,atk,inti,crit,hit,levelToUnlock,fls,rge,rows,depths,animationIndex,statusEffect,emitterIndex,statIndex,EquipmentSkillsIndex,Pure,soundEffectIndex
0,Focus,Channel your ki increasing your critical rate,1,-1,1,0,0.2,0,1000,1,10,0,0,0,3,0,4,6,0,0,4
1,Blitz,Channel your ki to your feet increasing your speed,1,-1,1,0.1,0,0,1000,2,10,0,0,0,3,0,4,5,0,0,4
2,Turtleheart,Emrace the calmness in your Ki. Increases defense.,1,-2,2,0.1,0,0,1000,2,15,0,0,0,3,0,4,3,1,0,4
3,Asuraheart,Embrace the anger in your Ki. Increases attack.,1,-2,2,0.2,0,0,1000,3,20,0,0,0,3,0,4,2,1,0,4
4,Unbreakable,Increase defense.,2,-2,1,0.1,0,0,1000,1,10,0,0,0,3,0,4,3,0,0,4
5,Knight's honor,Restore a small amount of health.,2,-7,1,0,0.1,0,1000,1,5,0,0,0,3,0,4,0,0,0,4
6,Inspire,Increase the attack of selected units.,2,-2,2,0.2,0,0,1000,3,20,4,1,1,3,0,4,2,0,0,4
7,Shields Up!,Increases the defense selected units.,2,-2,2,0.2,0,0,1000,3,15,3,1,1,3,0,4,3,0,0,4
8,Heal,Restores a small amount of HP to a unit.,3,-5,1,0,0.2,0,1000,1,5,4,0,0,3,0,4,0,0,0,4
9,Heal,Restores a small amount of HP to a unit.,3,-5,1,0,0.2,0,1000,1,5,4,0,0,3,0,4,0,1,0,4
10,Mega Heal,Restores a moderate amount of HP to selected units.,3,-10,1,0,0.2,0,1000,1,5,4,1,1,3,0,4,0,0,0,4
11,Mega Heal,Restores a moderate amount of HP to selected units.,3,-10,1,0,0.2,0,1000,1,5,4,1,1,3,0,4,0,1,0,4
12,Concentrate,Increases intillegence.,3,-2,1,0,0.1,0,1000,1,10,0,0,0,3,0,4,4,0,0,4
13,Imbue wind,Enchants a unit with wind increasing thier agility.,3,-4,2,0,0.2,0,1000,3,15,4,0,0,3,0,4,7,1,0,4
14,Imbue stone,Enchants a unit with stone increasing thier defense.,3,-4,2,0,0.2,0,1000,3,15,4,0,0,3,0,4,3,1,0,4
15,Imbue fire,Enchants a unit with fire increasing thier defense.,3,-4,2,0,0.2,0,1000,3,20,4,0,0,3,0,4,2,0,0,4
16,Nimble,Increases speed.,4,-2,1,0.1,0,0,1000,1,10,0,0,0,3,0,4,5,0,0,4
17,Eagle eye,Increases critical rate.,4,-3,2,0,0.2,0,1000,2,15,0,0,0,3,0,4,6,1,0,4
18,Red hawk cry,Increases critical rate for selected units.,4,-3,2,0,0.2,0,1000,3,20,3,1,1,3,0,4,6,1,0,4
19,New Quiver,Replaces old arrows with new sharper ones. Increases attack.,4,-3,2,0.2,0,0,1000,2,20,0,0,0,3,0,4,2,0,0,4
