,Line,Name,TextSpeed,Skippable
0,I've heard the next team likes to stay on the offensive.,Derin,0.03,1
1,I've heard the next team likes to stay on the defensive,Kilia,0.03,1
2,I've heard the next team likes to use spells and skills.,Bretnir,0.03,1
3,We stays have a single chance to get out of here... winning the tournament.,Bruga,0.03,1
4,Everyone thinks that the tournament is good for the city. I'm not convinced. People are so willing to abbandon their morals to get it. It makes you think.,Tostrad,0.03,1
5,"Whatever you do, don't drink with the northmen. One drink, and all of a sudden you're singing a bad tavern song and spilling your life's secrets to someone named Bjorn.",Pharis,0.03,1
6,I LOVE MAGES!!!!! WATCHING EM CAST SPELLS LIKE PEW! BOOM! ZAAPPP!! IT'S AMAZING!!!!!!!!!                             too bad I'm useless at magic.,Merrin,0.03,1
7,"Gertruda thinks she has the best pies, just cause all the judges agree doesn't mean they're right. I mean everyone loves my pies. That's why they spit it out to save it for later.",Mad Morgan,0.03,1
8,I've been training so hard for this tournament. But no one wants to be on my team. Do you wanna...             Oh....    I see... you already have a team....     cool...,Krenin,0.03,1
9,We fighters are the absolute best of the best. Mages are just cry babies that hide behind my magnificence. Don't even get me started on the sneaky ones.,Bartley,0.03,1
10,Kralia was founded to prevent war. The only thing it's managed to accomplish was monetize that bloodshed. What other purpose does the tournament serve?,Ferin,0.03,1
11,"Don't listen to Mad Morgan. There was raw meat in his meat pies, his dessert pies were salty, the dough on both was barely cooked, and on top of everything he claims to have been in some sort of pie competition.",Jorlaris,0.03,1
12,Long long ago there was a powerful magician. He used to live peacefully among the people of the kingdom. Until one day he was sentenced to death for a crime he didn't commit. That's how the plague started...,Bertley,0.03,1
13,After the plague ravaged our cities the kingdom issued a decree to stop executions for fear of another magician releasing a plague. They still needed a place to put us criminals so we ended up here in this time loop and thus we became the stays. ,Hrothnir,0.03,1
,,,0.03,1
