,HP,PIP,ATK,DEF,INTL,SPD,CRIT,HIT,CRD,RANGE,Name,EquipmentIndex,WeaponIndex,ArmorIndex,Owned,Level,Value,SkillsIndex,Skillsn,ID,EmitterIndex,Pure
0,0,0,1,0,0,2,1,2,0,2,Bandage gloves,0,1,0,0,1,100,0,1,0,0,0
1,0,0,2,1,0,2,2,2,0,2,Iron fists,0,1,0,0,1,175,0,1,1,0,0
2,0,0,4,0,0,1,3,2,2,2,Spiked gloves,0,1,0,0,2,260,0,2,2,0,0
3,0,0,5,2,0,-1,3,2,1,2,Iron gloves,0,1,0,0,3,350,0,2,3,0,0
4,0,0,6,1,0,1,3,2,2,2,Brass knuckles,0,1,0,0,4,420,1,2,4,0,0
5,0,0,8,-3,0,2,4,4,3,3,Power gloves,0,1,0,0,6,500,1,3,5,0,0
6,0,0,1,0,0,1,1,2,0,2,Wooden sword,0,2,0,0,1,100,0,1,6,0,0
7,0,0,2,0,0,1,2,2,0,2,Rusted sword,0,2,0,0,1,175,0,1,7,0,0
8,0,0,4,0,0,1,3,2,2,3,Iron sword,0,2,0,0,2,260,0,2,8,0,0
9,0,0,5,0,0,0,4,2,1,3,Steel sword,0,2,0,0,3,350,0,2,9,0,0
10,0,0,6,2,0,2,1,1,2,3,Rapier,0,2,0,0,4,420,1,2,10,0,1
11,0,0,9,-2,0,-1,4,4,3,4,Zweihander,0,2,0,0,6,500,0,3,11,0,0
12,0,0,1,0,1,1,1,2,0,3,Apprentice wand,0,3,0,0,1,100,0,1,12,0,0
13,0,0,1,0,2,1,2,2,0,3,Small wand,0,3,0,0,1,175,0,1,13,0,0
14,0,0,1,0,4,1,3,2,1,3,Curved wand,0,3,0,0,2,260,1,2,14,0,0
15,0,0,1,0,3,3,4,2,1,3,Feather wand,0,3,0,0,3,350,0,2,15,0,0
16,0,0,2,0,6,3,3,3,2,4,Mysitc wand,0,3,0,0,4,420,1,3,16,0,0
17,0,0,2,-3,8,2,5,4,3,4,Wand of wrath,0,3,0,0,6,500,0,3,17,0,0
18,0,0,1,0,0,1,1,1,0,3,Recurved bow,0,4,0,0,1,100,0,1,18,0,0
